Column,Display Name,Source,Raw JSON Field,Calculation,DB Flat Column,Function,Notes
Time (ET),Time (ET),DB field: ntime (integer HHMM format),N/A - derived from snapshot metadata,Formatted as HH:MM from ntime field,ntime,load_gex_snapshot(),"Stored as integer (e.g., 930, 1000, 1032)"
SPX,SPX,DB flat column: uprice,market.gex: 'last' / market.histgex: 'uprice',Direct read from DB flat column,uprice,load_gex_snapshot(),"CRITICAL RULE: market.gex uses 'last', market.histgex uses 'uprice'"
Senti%,Senti%,DB flat column: sentiment,N/A - calculated from data array,% of positive net GEX bars in 40-strike window: (pos_bars / total_bars) * 100,sentiment,_compute_flat_summary(),"Calculated from raw JSON data array, stored in DB"
Ratio,Ratio,DB flat column: gex_ratio,N/A - calculated from data array,If call_gex > put_gex: call_gex/put_gex (positive). If put_gex > call_gex: -put_gex/call_gex (negative),gex_ratio,_compute_flat_summary(),Flips sign based on which side is larger
Net GEX,Net GEX,DB flat column: net_gex,N/A - calculated from data array,Sum of 'net' field across 40-strike window (20 below + 20 above uprice),net_gex,_compute_flat_summary(),40-strike window: below[-20:] + above[:20]
KCS,KCS,DB flat column: kcs,N/A - calculated from data array,Key Strike Confluence Score = (0.5*gex_share + 0.3*oi_share + 0.2*vol_share) * proximity_factor * 100,kcs,_compute_key_strike_stats(),"Proximity factor = exp(-distance/25), distance = |key_strike - uprice|"
Regime,Regime,DB flat column: hmm_label,N/A - HMM model prediction,"HMM (Gaussian Hidden Markov Model) prediction based on: net_gex, kcs, sentiment_pct, dist_to_key, total_put_vol",hmm_label,predict_hmm_sequence(),Only for RTH (ntime >= 930). Pre-market shows null/empty
Put GEX,Put GEX,DB flat column: total_put_gex,N/A - calculated from data array,Sum of 'pg' (put gamma exposure) across 40-strike window,total_put_gex,_compute_flat_summary(),Negative values indicate put dominance
cVol,cVol,DB flat column: total_call_vol,N/A - calculated from data array,Sum of 'cvol' (call volume) across 40-strike window,total_call_vol,_compute_flat_summary(),Calculated from raw JSON strike data
pVol,pVol,DB flat column: total_put_vol,N/A - calculated from data array,Sum of 'pvol' (put volume) across 40-strike window,total_put_vol,_compute_flat_summary(),Calculated from raw JSON strike data
Flip,Flip,DB flat column: flip,N/A - calculated from data array,Strike level where cumulative net GEX crosses zero within 40-strike window,flip,_compute_flat_summary(),Linear interpolation between strikes where sign changes
Key,Key,DB flat column: key_strike,N/A - calculated from data array,Strike with highest proximity-weighted absolute GEX: max(abs(abs) * exp(-distance/25)),key_strike,_compute_key_strike_stats(),Proximity-weighted to favor strikes near uprice
K-cGEX,K-cGEX,DB flat column: key_call_gex,N/A - calculated from data array,Call GEX (cg) at the key strike,key_call_gex,_compute_key_strike_stats(),Direct field from key strike row in data array
K-pGEX,K-pGEX,DB flat column: key_put_gex,N/A - calculated from data array,Put GEX (pg) at the key strike,key_put_gex,_compute_key_strike_stats(),Direct field from key strike row in data array
K-cOI,K-cOI,DB flat column: key_call_oi,N/A - calculated from data array,Call Open Interest (coi) at the key strike,key_call_oi,_compute_key_strike_stats(),Direct field from key strike row in data array
K-pOI,K-pOI,DB flat column: key_put_oi,N/A - calculated from data array,Put Open Interest (poi) at the key strike,key_put_oi,_compute_key_strike_stats(),Direct field from key strike row in data array
K-cVol,K-cVol,DB flat column: key_call_vol,N/A - calculated from data array,Call Volume (cvol) at the key strike,key_call_vol,_compute_key_strike_stats(),Direct field from key strike row in data array
K-pVol,K-pVol,DB flat column: key_put_vol,N/A - calculated from data array,Put Volume (pvol) at the key strike,key_put_vol,_compute_key_strike_stats(),Direct field from key strike row in data array
Key2,Key2,DB flat column: key2_strike,N/A - calculated from data array,Second-highest proximity-weighted absolute GEX (excluding key strike),key2_strike,_compute_key_strike_stats(),Secondary wall strike
K2-Abs,K2-Abs,DB flat column: key2_abs,N/A - calculated from data array,Absolute GEX (abs) at the key2 strike,key2_abs,_compute_key_strike_stats(),Direct field from key2 strike row in data array
K2-cVol,K2-cVol,DB flat column: key2_call_vol,N/A - calculated from data array,Call Volume (cvol) at the key2 strike,key2_call_vol,_compute_key_strike_stats(),Direct field from key2 strike row in data array
K2-pVol,K2-pVol,DB flat column: key2_put_vol,N/A - calculated from data array,Put Volume (pvol) at the key2 strike,key2_put_vol,_compute_key_strike_stats(),Direct field from key2 strike row in data array
